show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Title_1,,"Actor_457, Actor_840, Actor_382, Actor_699, Actor_785",Mexico,"August 15, 2009",1980,TV-G,173 min,"Action & Adventure, Reality TV",Description for Title_1
s2,TV Show,Title_2,,"Actor_999, Actor_205, Actor_102, Actor_749",United States,"September 11, 2008",2003,TV-PG,7 Seasons,"Dramas, Documentaries",Description for Title_2
s3,TV Show,Title_3,Director_251,,United States,"October 15, 2013",1989,TV-MA,7 Seasons,"Action & Adventure, Anime Series",Description for Title_3
s4,Movie,Title_4,Director_35,"Actor_779, Actor_118",United States,"February 13, 2016",1947,TV-14,79 min,Crime TV Shows,Description for Title_4
s5,Movie,Title_5,,"Actor_174, Actor_265, Actor_423, Actor_506",India,"April 15, 2015",2015,TV-14,156 min,"Thrillers, Sci-Fi & Fantasy",Description for Title_5
s6,Movie,Title_6,Director_140,Actor_761,Italy,"August 25, 2009",1983,TV-14,61 min,"Stand-Up Comedy, Documentaries, Sci-Fi & Fantasy",Description for Title_6
s7,Movie,Title_7,Director_395,Actor_12,United States,"December 01, 2010",1999,TV-PG,162 min,"Anime Series, International Movies",Description for Title_7
s8,TV Show,Title_8,Director_322,"Actor_345, Actor_71",Japan,"January 13, 2013",1984,TV-14,5 Seasons,"Sci-Fi & Fantasy, Thrillers",Description for Title_8
s9,Movie,Title_9,Director_59,"Actor_971, Actor_263, Actor_239",South Korea,"August 28, 2014",1951,TV-14,61 min,Dramas,Description for Title_9
s10,TV Show,Title_10,,"Actor_577, Actor_183, Actor_292, Actor_427, Actor_10",Canada,"August 23, 2010",2019,TV-MA,3 Seasons,Thrillers,Description for Title_10
s11,Movie,Title_11,Director_20,"Actor_287, Actor_427",India,"October 03, 2012",1980,PG,133 min,"Romantic Movies, Reality TV, Crime TV Shows",Description for Title_11
s12,TV Show,Title_12,,"Actor_955, Actor_862, Actor_206",Canada,"April 29, 2009",1954,TV-14,5 Seasons,"Docuseries, Crime TV Shows, Romantic Movies",Description for Title_12
s13,TV Show,Title_13,,"Actor_78, Actor_853",United States,"April 27, 2019",2016,PG,9 Seasons,"Docuseries, Crime TV Shows, Action & Adventure",Description for Title_13
s14,Movie,Title_14,Director_401,"Actor_878, Actor_882, Actor_912",United States,"January 11, 2008",1980,PG,87 min,"Children & Family Movies, Sci-Fi & Fantasy",Description for Title_14
s15,Movie,Title_15,Director_449,"Actor_389, Actor_677, Actor_666",Philippines,"December 02, 2020",1952,TV-14,62 min,Stand-Up Comedy,Description for Title_15
s16,Movie,Title_16,Director_3,"Actor_754, Actor_951, Actor_383, Actor_666, Actor_104",United States,"May 01, 2020",1957,TV-MA,75 min,"Dramas, Horror Movies",Description for Title_16
s17,Movie,Title_17,Director_77,Actor_519,United States,"July 20, 2013",1974,TV-Y7,63 min,Reality TV,Description for Title_17
s18,Movie,Title_18,Director_406,"Actor_756, Actor_362, Actor_337, Actor_371, Actor_162",Turkey,"March 18, 2017",2001,PG-13,82 min,"Stand-Up Comedy, Crime TV Shows",Description for Title_18
s19,Movie,Title_19,,,United States,"June 14, 2016",2000,TV-MA,153 min,Anime Series,Description for Title_19
s20,Movie,Title_20,Director_162,"Actor_487, Actor_742, Actor_552, Actor_842, Actor_537",Japan,"April 26, 2016",2015,R,161 min,Horror Movies,Description for Title_20
s21,Movie,Title_21,,"Actor_405, Actor_461, Actor_83, Actor_21",United States,"August 27, 2009",1992,TV-MA,136 min,Reality TV,Description for Title_21
s22,Movie,Title_22,,"Actor_332, Actor_938",India,"August 26, 2010",1956,TV-MA,65 min,"Children & Family Movies, Dramas, Documentaries",Description for Title_22
s23,Movie,Title_23,Director_347,"Actor_984, Actor_763, Actor_430, Actor_616",United States,"August 31, 2019",2021,TV-PG,133 min,Comedies,Description for Title_23
s24,Movie,Title_24,Director_182,Actor_659,United States,"March 12, 2009",1984,TV-MA,114 min,Stand-Up Comedy,Description for Title_24
s25,Movie,Title_25,Director_197,"Actor_55, Actor_88",India,"August 06, 2015",1968,G,140 min,"Anime Series, Reality TV, International Movies",Description for Title_25
s26,TV Show,Title_26,Director_73,,Spain,"December 14, 2012",1997,TV-Y,8 Seasons,Romantic Movies,Description for Title_26
s27,Movie,Title_27,,"Actor_9, Actor_455, Actor_257, Actor_751, Actor_588",United Kingdom,"June 10, 2021",2001,R,157 min,Documentaries,Description for Title_27
s28,Movie,Title_28,Director_148,"Actor_155, Actor_987, Actor_550, Actor_187, Actor_682",Argentina,"August 01, 2015",2011,TV-MA,140 min,"Dramas, Crime TV Shows",Description for Title_28
s29,Movie,Title_29,Director_431,"Actor_653, Actor_216, Actor_361, Actor_418, Actor_401",United States,"January 03, 2013",1988,TV-14,175 min,Stand-Up Comedy,Description for Title_29
s30,Movie,Title_30,Director_291,,United Kingdom,"October 19, 2008",1949,TV-14,166 min,Reality TV,Description for Title_30
s31,Movie,Title_31,Director_183,"Actor_342, Actor_440",Canada,"October 26, 2018",2004,TV-14,173 min,"Crime TV Shows, Docuseries, Stand-Up Comedy",Description for Title_31
s32,Movie,Title_32,Director_437,"Actor_555, Actor_801, Actor_675, Actor_360",Thailand,"April 06, 2009",1948,TV-MA,145 min,Documentaries,Description for Title_32
s33,Movie,Title_33,Director_484,"Actor_397, Actor_206, Actor_86, Actor_254",United States,"August 20, 2018",1943,TV-PG,123 min,"Children & Family Movies, Comedies",Description for Title_33
s34,TV Show,Title_34,,"Actor_693, Actor_426",Canada,"November 07, 2016",1958,TV-14,3 Seasons,Crime TV Shows,Description for Title_34
s35,TV Show,Title_35,Director_487,Actor_238,Brazil,"September 22, 2013",1945,TV-G,8 Seasons,"Action & Adventure, Horror Movies",Description for Title_35
s36,TV Show,Title_36,Director_43,"Actor_154, Actor_317, Actor_811",United States,"October 11, 2018",1967,TV-G,7 Seasons,"Docuseries, Stand-Up Comedy",Description for Title_36
s37,Movie,Title_37,Director_281,,Turkey,"January 18, 2016",2019,TV-PG,112 min,"Crime TV Shows, International Movies, Dramas",Description for Title_37
s38,Movie,Title_38,,"Actor_366, Actor_779, Actor_512",United States,"February 27, 2021",2013,R,99 min,"Comedies, International Movies, Stand-Up Comedy",Description for Title_38
s39,Movie,Title_39,Director_233,"Actor_74, Actor_727, Actor_766",Spain,"March 29, 2008",2010,TV-MA,111 min,Thrillers,Description for Title_39
s40,Movie,Title_40,Director_301,"Actor_367, Actor_560, Actor_880, Actor_614, Actor_549",Argentina,"July 21, 2012",1946,TV-MA,96 min,International Movies,Description for Title_40
s41,Movie,Title_41,Director_1,"Actor_539, Actor_693, Actor_405",Japan,"January 14, 2017",1946,TV-Y7,126 min,"Stand-Up Comedy, Documentaries, Action & Adventure",Description for Title_41
s42,Movie,Title_42,Director_295,"Actor_447, Actor_75",India,"June 13, 2015",2010,R,78 min,"Docuseries, Thrillers",Description for Title_42
s43,Movie,Title_43,Director_459,"Actor_561, Actor_71, Actor_44, Actor_381",United States,"January 16, 2016",1944,TV-MA,93 min,Stand-Up Comedy,Description for Title_43
s44,TV Show,Title_44,,Actor_9,Thailand,"February 25, 2009",1979,TV-PG,5 Seasons,"Action & Adventure, Reality TV, Thrillers",Description for Title_44
s45,Movie,Title_45,,"Actor_298, Actor_888, Actor_864, Actor_441",United Kingdom,"April 07, 2018",1942,TV-G,69 min,Anime Series,Description for Title_45
s46,Movie,Title_46,,"Actor_846, Actor_94, Actor_577, Actor_305, Actor_711",United States,"August 11, 2021",1949,TV-14,111 min,Romantic Movies,Description for Title_46
s47,Movie,Title_47,Director_176,"Actor_313, Actor_811, Actor_482, Actor_677",South Korea,"February 20, 2020",1954,TV-MA,101 min,"Children & Family Movies, Thrillers",Description for Title_47
s48,Movie,Title_48,Director_6,"Actor_949, Actor_270, Actor_230, Actor_249",United Kingdom,"September 22, 2008",2011,TV-G,119 min,Action & Adventure,Description for Title_48
s49,Movie,Title_49,,Actor_554,United States,"October 21, 2015",1991,TV-14,140 min,"Docuseries, Comedies",Description for Title_49
s50,Movie,Title_50,Director_383,"Actor_763, Actor_720, Actor_31, Actor_190",United States,"October 10, 2011",1949,TV-14,61 min,Thrillers,Description for Title_50
s51,TV Show,Title_51,,"Actor_975, Actor_218, Actor_290, Actor_308",United States,"December 19, 2012",1971,TV-MA,1 Seasons,"Sci-Fi & Fantasy, Romantic Movies, Reality TV",Description for Title_51
s52,TV Show,Title_52,Director_118,"Actor_58, Actor_809, Actor_443, Actor_819, Actor_94",Canada,"March 14, 2014",1981,TV-Y,4 Season,Crime TV Shows,Description for Title_52
s53,TV Show,Title_53,,"Actor_469, Actor_721, Actor_94, Actor_372, Actor_2",France,"February 03, 2020",2020,PG,6 Season,Documentaries,Description for Title_53
s54,TV Show,Title_54,,"Actor_633, Actor_48, Actor_884",United Kingdom,"April 29, 2010",2015,TV-14,3 Seasons,"Docuseries, Stand-Up Comedy, Crime TV Shows",Description for Title_54
s55,Movie,Title_55,,Actor_809,Germany,"March 07, 2021",1974,TV-MA,141 min,Stand-Up Comedy,Description for Title_55
s56,TV Show,Title_56,,,Brazil,"March 25, 2018",2014,TV-14,4 Seasons,"Reality TV, Action & Adventure",Description for Title_56
s57,Movie,Title_57,Director_221,"Actor_767, Actor_353, Actor_755, Actor_172, Actor_824",France,"September 18, 2010",1993,TV-MA,62 min,"Docuseries, Sci-Fi & Fantasy",Description for Title_57
s58,Movie,Title_58,,,United States,"April 22, 2018",1974,TV-MA,103 min,"Sci-Fi & Fantasy, Thrillers",Description for Title_58
s59,Movie,Title_59,Director_233,"Actor_15, Actor_105, Actor_176, Actor_709",South Korea,"December 13, 2012",2014,TV-14,177 min,Comedies,Description for Title_59
s60,Movie,Title_60,Director_221,"Actor_555, Actor_689, Actor_609, Actor_620",India,"December 18, 2016",2019,TV-MA,75 min,"Anime Series, Action & Adventure, Romantic Movies",Description for Title_60
s61,Movie,Title_61,Director_322,"Actor_64, Actor_406",Canada,"December 17, 2009",1978,G,70 min,"Reality TV, Action & Adventure",Description for Title_61
s62,Movie,Title_62,,"Actor_682, Actor_547",Japan,"June 14, 2010",2011,TV-MA,69 min,"Romantic Movies, Action & Adventure",Description for Title_62
s63,TV Show,Title_63,,,India,"March 22, 2011",2010,TV-14,3 Seasons,Children & Family Movies,Description for Title_63
s64,Movie,Title_64,Director_9,"Actor_918, Actor_359, Actor_803, Actor_70, Actor_110",Thailand,"April 11, 2018",1945,TV-MA,84 min,"Comedies, Horror Movies",Description for Title_64
s65,Movie,Title_65,,Actor_489,United States,"November 11, 2012",2001,R,158 min,"Children & Family Movies, Comedies",Description for Title_65
s66,Movie,Title_66,Director_184,,Japan,"September 05, 2015",2021,TV-MA,179 min,"Children & Family Movies, Action & Adventure, Reality TV",Description for Title_66
s67,Movie,Title_67,,"Actor_305, Actor_890, Actor_912, Actor_375, Actor_453",United States,"April 15, 2017",2015,TV-PG,65 min,Docuseries,Description for Title_67
s68,TV Show,Title_68,Director_376,"Actor_159, Actor_972",Thailand,"December 30, 2011",1972,PG-13,8 Seasons,"Documentaries, Romantic Movies, Horror Movies",Description for Title_68
s69,Movie,Title_69,Director_288,"Actor_967, Actor_602, Actor_6, Actor_557, Actor_574",United States,"December 18, 2014",1955,G,100 min,Thrillers,Description for Title_69
s70,TV Show,Title_70,Director_401,,United States,"September 11, 2020",2018,R,1 Seasons,"Children & Family Movies, Horror Movies, Romantic Movies",Description for Title_70
s71,TV Show,Title_71,,,United States,"December 13, 2020",2001,TV-MA,4 Seasons,"Action & Adventure, Dramas, Romantic Movies",Description for Title_71
s72,Movie,Title_72,,"Actor_42, Actor_463, Actor_380",India,"September 23, 2017",2009,TV-MA,150 min,Anime Series,Description for Title_72
s73,Movie,Title_73,Director_349,,United States,"September 11, 2011",1967,PG-13,175 min,"International Movies, Thrillers, Anime Series",Description for Title_73
s74,TV Show,Title_74,Director_486,"Actor_889, Actor_959, Actor_830",Canada,"March 05, 2016",1965,TV-MA,2 Seasons,"Children & Family Movies, Anime Series, Comedies",Description for Title_74
s75,TV Show,Title_75,Director_427,"Actor_394, Actor_869, Actor_950, Actor_171",India,"February 12, 2017",1997,TV-14,3 Seasons,"Romantic Movies, Documentaries",Description for Title_75
s76,TV Show,Title_76,,Actor_204,United States,"February 14, 2021",1950,NC-17,5 Seasons,"Comedies, Children & Family Movies",Description for Title_76
s77,TV Show,Title_77,Director_34,"Actor_709, Actor_636, Actor_708, Actor_439, Actor_136",United States,"October 23, 2013",1976,PG,4 Seasons,"Sci-Fi & Fantasy, Dramas, Stand-Up Comedy",Description for Title_77
s78,Movie,Title_78,Director_495,"Actor_979, Actor_172, Actor_731, Actor_775, Actor_760",Germany,"December 07, 2017",2020,PG,68 min,"Crime TV Shows, Comedies",Description for Title_78
s79,Movie,Title_79,Director_207,"Actor_377, Actor_806, Actor_353",South Korea,"May 12, 2009",1965,TV-Y,82 min,Stand-Up Comedy,Description for Title_79
s80,Movie,Title_80,Director_177,"Actor_336, Actor_815, Actor_906, Actor_51, Actor_7",Spain,"July 19, 2017",1972,TV-PG,91 min,"Children & Family Movies, Comedies, Docuseries",Description for Title_80
s81,TV Show,Title_81,Director_2,"Actor_654, Actor_944, Actor_360, Actor_273, Actor_392",South Korea,"December 22, 2009",2007,PG-13,8 Seasons,"Dramas, Reality TV",Description for Title_81
s82,Movie,Title_82,Director_267,,United States,"September 25, 2011",2007,TV-14,70 min,"Children & Family Movies, Anime Series",Description for Title_82
s83,Movie,Title_83,,"Actor_75, Actor_958, Actor_164, Actor_931, Actor_221",United States,"November 03, 2008",1982,UR,78 min,"Dramas, Sci-Fi & Fantasy",Description for Title_83
s84,Movie,Title_84,Director_240,,United States,"July 14, 2015",1977,TV-MA,123 min,"Stand-Up Comedy, Docuseries",Description for Title_84
s85,Movie,Title_85,Director_43,"Actor_504, Actor_345, Actor_351",Italy,"June 02, 2010",1975,TV-PG,124 min,"Thrillers, Stand-Up Comedy, Romantic Movies",Description for Title_85
s86,Movie,Title_86,Director_487,"Actor_950, Actor_454, Actor_598, Actor_274",Nigeria,"June 18, 2011",1980,TV-14,132 min,"Comedies, Children & Family Movies",Description for Title_86
s87,TV Show,Title_87,,"Actor_709, Actor_929, Actor_393, Actor_435",United Kingdom,"November 27, 2019",1964,TV-MA,9 Seasons,"Dramas, Stand-Up Comedy",Description for Title_87
s88,Movie,Title_88,Director_406,"Actor_325, Actor_946, Actor_189, Actor_902, Actor_477",United States,"September 10, 2014",2021,TV-PG,63 min,"Anime Series, Dramas, Docuseries",Description for Title_88
s89,TV Show,Title_89,Director_89,"Actor_755, Actor_181, Actor_34, Actor_150, Actor_124",United States,"April 21, 2016",1985,TV-14,4 Season,"Comedies, Documentaries, Docuseries",Description for Title_89
s90,Movie,Title_90,Director_131,"Actor_437, Actor_432, Actor_410",United States,"November 18, 2010",2011,TV-PG,151 min,"Reality TV, Action & Adventure, Dramas",Description for Title_90
s91,Movie,Title_91,Director_298,"Actor_404, Actor_948, Actor_421, Actor_937",Canada,"May 08, 2009",1999,TV-PG,77 min,Action & Adventure,Description for Title_91
